id,sub_objetivo,genero,lugar,nivel,dias,fase_mes,es_prueba,nombre
976,Definición extrema,Chicos,Gimnasio,Principiante,2,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS
1004,Definición extrema,Chicos,Gimnasio,Principiante,2,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-2 DÍAS
980,Definición extrema,Chicos,Gimnasio,Principiante,2,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-2 DÍAS
984,Definición extrema,Chicos,Gimnasio,Principiante,2,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-2 DÍAS
988,Definición extrema,Chicos,Gimnasio,Principiante,2,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-2 DÍAS
992,Definición extrema,Chicos,Gimnasio,Principiante,2,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-2 DÍAS
1000,Definición extrema,Chicos,Gimnasio,Principiante,2,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-2 DÍAS
996,Definición extrema,Chicos,Gimnasio,Principiante,2,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-2 DÍAS
1003,Definición extrema,Chicos,Gimnasio,Principiante,3,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS
975,Definición extrema,Chicos,Gimnasio,Principiante,3,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-3 DÍAS
979,Definición extrema,Chicos,Gimnasio,Principiante,3,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-3 DÍAS
983,Definición extrema,Chicos,Gimnasio,Principiante,3,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-3 DÍAS
987,Definición extrema,Chicos,Gimnasio,Principiante,3,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-3 DÍAS
991,Definición extrema,Chicos,Gimnasio,Principiante,3,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-3 DÍAS
999,Definición extrema,Chicos,Gimnasio,Principiante,3,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-3 DÍAS
995,Definición extrema,Chicos,Gimnasio,Principiante,3,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-3 DÍAS
974,Definición extrema,Chicos,Gimnasio,Principiante,4,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-4 DÍAS
1002,Definición extrema,Chicos,Gimnasio,Principiante,4,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-4 DÍAS
978,Definición extrema,Chicos,Gimnasio,Principiante,4,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-4 DÍAS
982,Definición extrema,Chicos,Gimnasio,Principiante,4,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-4 DÍAS
986,Definición extrema,Chicos,Gimnasio,Principiante,4,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-4 DÍAS
990,Definición extrema,Chicos,Gimnasio,Principiante,4,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-4 DÍAS
998,Definición extrema,Chicos,Gimnasio,Principiante,4,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-4 DÍAS
994,Definición extrema,Chicos,Gimnasio,Principiante,4,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-4 DÍAS
973,Definición extrema,Chicos,Gimnasio,Principiante,5,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-5 DÍAS
1001,Definición extrema,Chicos,Gimnasio,Principiante,5,1,,CHICOS-GYM-MES 1-PRINCIPIANTE-5 DÍAS
977,Definición extrema,Chicos,Gimnasio,Principiante,5,2,,CHICOS-GYM-MES 2-PRINCIPIANTE-5 DÍAS
981,Definición extrema,Chicos,Gimnasio,Principiante,5,3,,CHICOS-GYM-MES 3-PRINCIPIANTE-5 DÍAS
985,Definición extrema,Chicos,Gimnasio,Principiante,5,4,,CHICOS-GYM-MES 4-PRINCIPIANTE-5 DÍAS
989,Definición extrema,Chicos,Gimnasio,Principiante,5,5,,CHICOS-GYM-MES 5-PRINCIPIANTE-5 DÍAS
997,Definición extrema,Chicos,Gimnasio,Principiante,5,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-5 DÍAS
993,Definición extrema,Chicos,Gimnasio,Principiante,5,6,,CHICOS-GYM-MES 6-PRINCIPIANTE-5 DÍAS
1039,Recomposición,Chicas,Gimnasio,Avanzado,2,1,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-2 DIAS
1016,Recomposición,Chicas,Gimnasio,Avanzado,2,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS
1020,Recomposición,Chicas,Gimnasio,Avanzado,2,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-2 DIAS
1024,Recomposición,Chicas,Gimnasio,Avanzado,2,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS
1231,Recomposición,Chicas,Gimnasio,Avanzado,2,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-AVANZADO-2 DIAS
1235,Recomposición,Chicas,Gimnasio,Avanzado,2,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS
1239,Recomposición,Chicas,Gimnasio,Avanzado,2,7,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-2 DIAS
1242,Recomposición,Chicas,Gimnasio,Avanzado,2,8,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-2 DIAS
1247,Recomposición,Chicas,Gimnasio,Avanzado,2,9,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 9-AVANZADO-2 DIAS
1227,Recomposición,Chicas,Gimnasio,Avanzado,3,1,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-3 DIAS
1015,Recomposición,Chicas,Gimnasio,Avanzado,3,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS
1019,Recomposición,Chicas,Gimnasio,Avanzado,3,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-3 DIAS
1023,Recomposición,Chicas,Gimnasio,Avanzado,3,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS
1230,Recomposición,Chicas,Gimnasio,Avanzado,3,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-AVANZADO-3 DIAS
1234,Recomposición,Chicas,Gimnasio,Avanzado,3,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS
1238,Recomposición,Chicas,Gimnasio,Avanzado,3,7,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-3 DIAS
1243,Recomposición,Chicas,Gimnasio,Avanzado,3,8,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS
1246,Recomposición,Chicas,Gimnasio,Avanzado,3,9,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 9-AVANZADO-3 DIAS
1038,Recomposición,Chicas,Gimnasio,Avanzado,4,1,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-4 DIAS
1014,Recomposición,Chicas,Gimnasio,Avanzado,4,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS
1018,Recomposición,Chicas,Gimnasio,Avanzado,4,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-4 DIAS
1022,Recomposición,Chicas,Gimnasio,Avanzado,4,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS
1229,Recomposición,Chicas,Gimnasio,Avanzado,4,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-AVANZADO-4 DIAS
1233,Recomposición,Chicas,Gimnasio,Avanzado,4,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS 
1237,Recomposición,Chicas,Gimnasio,Avanzado,4,7,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-4 DIAS
1241,Recomposición,Chicas,Gimnasio,Avanzado,4,8,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS
1245,Recomposición,Chicas,Gimnasio,Avanzado,4,9,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 9-AVANZADO-4 DIAS
1037,Recomposición,Chicas,Gimnasio,Avanzado,5,1,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 1-AVANZADO-5 DIAS
1013,Recomposición,Chicas,Gimnasio,Avanzado,5,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS
1017,Recomposición,Chicas,Gimnasio,Avanzado,5,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-AVANZADO-5 DIAS
1021,Recomposición,Chicas,Gimnasio,Avanzado,5,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS
1228,Recomposición,Chicas,Gimnasio,Avanzado,5,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-AVANZADO-5 DIAS
1232,Recomposición,Chicas,Gimnasio,Avanzado,5,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-AVANZADO-5 DIAS
1236,Recomposición,Chicas,Gimnasio,Avanzado,5,7,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 7-AVANZADO-5 DIAS
1240,Recomposición,Chicas,Gimnasio,Avanzado,5,8,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 8-AVANZADO-5 DIAS
1244,Recomposición,Chicas,Gimnasio,Avanzado,5,9,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 9-AVANZADO-5 DIAS
1251,Recomposición,Chicas,Gimnasio,Principiante,2,1,,RECOMPOSICION-CHICAS- GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-2 DIAS
1257,Recomposición,Chicas,Gimnasio,Principiante,2,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS
1262,Recomposición,Chicas,Gimnasio,Principiante,2,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-PRINCIPIANTE-2 DIAS
1263,Recomposición,Chicas,Gimnasio,Principiante,2,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-PRINCIPIANTE-2 DIAS
1265,Recomposición,Chicas,Gimnasio,Principiante,2,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-PRINCIPIANTE-2 DÍAS
1270,Recomposición,Chicas,Gimnasio,Principiante,2,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-2 DIAS
1250,Recomposición,Chicas,Gimnasio,Principiante,3,1,,RECOMPOSICION-CHICAS- GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-3 DIAS
1256,Recomposición,Chicas,Gimnasio,Principiante,3,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS
1261,Recomposición,Chicas,Gimnasio,Principiante,3,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-PRINCIPIANTE-3 DIAS
1258,Recomposición,Chicas,Gimnasio,Principiante,3,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS
1264,Recomposición,Chicas,Gimnasio,Principiante,3,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-PRINCIPIANTE-3 DÍAS
1271,Recomposición,Chicas,Gimnasio,Principiante,3,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-3 DIAS
1248,Recomposición,Chicas,Gimnasio,Principiante,4,1,,RECOMPOSICION-CHICAS- GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-4 DIAS
1255,Recomposición,Chicas,Gimnasio,Principiante,4,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-4 DIAS
1260,Recomposición,Chicas,Gimnasio,Principiante,4,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-PRINCIPIANTE-4 DIAS
1253,Recomposición,Chicas,Gimnasio,Principiante,4,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS
1267,Recomposición,Chicas,Gimnasio,Principiante,4,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-PRINCIPIANTE-4 DÍAS
1268,Recomposición,Chicas,Gimnasio,Principiante,4,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-4 DIAS
1249,Recomposición,Chicas,Gimnasio,Principiante,5,1,,RECOMPOSICION-CHICAS- GIMNASIO-WEIDER-MES 1-PRINCIPIANTE-5 DIAS
1254,Recomposición,Chicas,Gimnasio,Principiante,5,2,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-5 DIAS
1259,Recomposición,Chicas,Gimnasio,Principiante,5,3,,RECOMPOSICION-CHICAS-GIMNASIO-TORSO PIERNA-MES 3-PRINCIPIANTE-5 DIAS
1252,Recomposición,Chicas,Gimnasio,Principiante,5,4,,RECOMPOSICION-CHICAS-GIMNASIO-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS
1266,Recomposición,Chicas,Gimnasio,Principiante,5,5,,RECOMPOSICION-CHICAS-GIMNASIO-WEIDER-MES 5-PRINCIPIANTE-5 DÍAS
1269,Recomposición,Chicas,Gimnasio,Principiante,5,6,,RECOMPOSICION-CHICAS-GIMNASIO-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-5 DIAS
1070,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-2 DIAS
1054,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-2 DIAS
1058,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-2 DIAS
1062,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-2 DIAS
1274,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-AVANZADO-2 DÍAS
1276,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMA-EMPUJES Y TRACCIONES-MES 6-AVANZADO-2 DIAS
1284,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,7,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 7-AVANZADO-2 DIAS
1288,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,8,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-2 DIAS
1292,Recomposición,Chicas,Mancuernas y gomas,Avanzado,2,9,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 9-AVANZADO-2 DÍAS
1069,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-3 DIAS
1053,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-3 DIAS
1057,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-3 DIAS
1061,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-3 DIAS
1275,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-AVANZADO-3 DÍAS
1277,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMA-EMPUJES Y TRACCIONES-MES 6-AVANZADO-3 DIAS
1283,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,7,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 7-AVANZADO-3 DIAS
1287,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,8,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS
1291,Recomposición,Chicas,Mancuernas y gomas,Avanzado,3,9,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 9-AVANZADO-3 DÍAS
1272,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-4 DIAS
1052,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-4 DIAS
1056,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-4 DIAS
1060,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-4 DIAS
1273,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-AVANZADO-4 DÍAS
1278,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMA-EMPUJES Y TRACCIONES-MES 6-AVANZADO-4 DIAS
1282,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,7,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 7-AVANZADO-4 DIAS
1286,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,8,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS
1290,Recomposición,Chicas,Mancuernas y gomas,Avanzado,4,9,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 9-AVANZADO-4 DÍAS
1068,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-AVANZADO-5 DIAS
1051,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-AVANZADO-5 DIAS
1055,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-AVANZADO-5 DIAS
1059,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-AVANZADO-5 DIAS
1280,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-AVANZADO-5 DÍAS 
1279,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 6-AVANZADO-5 DÍAS-
1281,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,7,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 7-AVANZADO-5 DIAS
1285,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,8,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-5 DIAS
1289,Recomposición,Chicas,Mancuernas y gomas,Avanzado,5,9,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 9-AVANZADO-5 DÍAS
1295,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-PRINCIPIANTE-2 DIAS
1300,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-2 DIAS
1304,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,3,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-TORSO PIERNA-MES 3-PRINCIPIANTE-2 DIAS
1307,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,4,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-2 DIAS
1309,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,5,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 5-PRINCIPIANTE-2 DÍAS
1314,Recomposición,Chicas,Mancuernas y gomas,Principiante,2,6,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 6-PRINCIPIANTE-2 DIAS
1294,Recomposición,Chicas,Mancuernas y gomas,Principiante,3,1,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-WEIDER-MES 1-PRINCIPIANTE-3 DIAS
1299,Recomposición,Chicas,Mancuernas y gomas,Principiante,3,2,,RECOMPOSICION-CHICAS-MANCUERNAS Y GOMAS-EMPUJES Y TRACCIONES-MES 2-PRINCIPIANTE-3 DIAS
